SEGMENT,EXC_ABB,FDC_CODE,OLT_CODE,MANUFACTURER,RADIAL_DIST_METER,LONG,LAT
MSC,CBJ,C001,G01,TELLABS,4138,101.6205448,2.949303558
MSC,CBJ,C002,G01,TELLABS,3826,101.6196656,2.946228538
MSC,CBJ,C003,G01,TELLABS,3349,101.6216013,2.940117263
MSC,CBJ,C004,G01,TELLABS,3719,101.6177543,2.943771241
MSC,CBJ,C005,G01,TELLABS,4200,101.6151264,2.947277416
MSC,CBJ,C006,G02,FUJIKURA,4331,101.6135306,2.94705009
MSC,CBJ,C007,G02,FUJIKURA,3890,101.6127631,2.940383554
MSC,CBJ,C008,G02,FUJIKURA,4259,101.6094109,2.939800833
MSC,CBJ,C009,G02,FUJIKURA,4414,101.6065861,2.93770642
MSC,CBJ,C010,G02,FUJIKURA,4663,101.6060062,2.941290236
MSC,CBJ,C011,G02,FUJIKURA,4466,101.6041893,2.934351795
MSC,CBJ,C012,G02,FUJIKURA,0,101.6128148,2.946027664
MSC,CBJ,C013,G02,FUJIKURA,4863,101.6068648,2.946884275
MSC,CBJ,C014,G02,FUJIKURA,4904,101.6058211,2.947909246
MSC,CBJ,C015,G002,FUJIKURA,0,101.6227743,2.937699187
MSC,CBJ,C016,G01,FUJIKURA,3501,101.6145512,2.937094482
MSC,CBJ,C017,G001,FUJIKURA,206,101.6408023,2.921910882
MSC,CBJ,C018,G001,FUJIKURA,672,101.6392415,2.92269029
MSC,CBJ,C019,G001,FUJIKURA,1471,101.654832,2.921943827
MSC,CBJ,C020,G001,FUJIKURA,2043,101.6576131,2.929536521
MSC,CBJ,C021,G001,FUJIKURA,2740,101.6663535,2.92035217
MSC,CBJ,C022,G001,FUJIKURA,1751,101.6567436,2.915559736
MSC,CBJ,C023,G06,FUJIKURA,3985,101.6101687,2.937089062
MSC,CBJ,C024,G002,FUJIKURA,5789.56,101.5990582,2.950401369
MSC,CBJ,C025,G03,TELLABS,2554,101.6221621,2.932425206
MSC,CBJ,C026,G002,FUJIKURA,1547,101.6285143,2.915458842
MSC,CBJ,C028,G010,FUJIKURA,5533.58,101.6009662,2.949105126
MSC,CBJ,C031,G010,FUJIKURA,1662.66,101.6561686,2.924157973
MSC,CBJ,C033,G010,FUJIKURA,1729.66,101.6559865,2.926546059
MSC,CBJ,C036,G010,FUJIKURA,659.8,101.6463075,2.916589705
MSC,CBJ,C037,G010,FUJIKURA,822.88,101.6346393,2.92257981
MSC,CBJ,C039,G010,APEX,2810.29,101.6611848,2.936542803
MSC,CBJ,C040,G010,APEX,2720.9,101.6653925,2.914183898
MSC,CBJ,C042,G010,APEX,421.96,101.6379056,2.920367463
MSC,CBJ,C043,G010,APEX,2100.79,101.6326694,2.937038664
MSC,CBJ,C044,G010,FUJIKURA,923.83,101.6342415,2.924031935
MSC,CBJ,C045,G010,FUJIKURA,1265.41,101.6515169,2.926143873
MSC,CBJ,C046,G010,FUJIKURA,742.67,101.6463648,2.915543319
MSC,CBJ,C047,G010,FUJIKURA,726.52,101.6471011,2.916651837
MSC,CBJ,C048,G010,FUJIKURA,795.2,101.6475489,2.916211211
MSC,CBJ,C049,G010,FUJIKURA,5948.82,101.5989842,2.952747442
MSC,CBJ,C050,G010,APEX,1099.34,101.6504333,2.925015462
MSC,CBJ,C062,G010,APEX,1133.41,101.6516885,2.918297683
MSC,KLIA,C002,G001,FIBERHOME,1310,101.7352375,2.753504045
MSC,KLIA,C003,G01,FIBERHOME,2175,101.7145936,2.736013903
MSC,KLIA,C004,G001,FUJIKURA,3646,101.6964349,2.767617747
MSC,PUJ,C001,G002,FUJIKURA,1167.11,101.7171462,2.947281318
MSC,PUJ,C002,G001,APEX,1310.66,101.7021759,2.932499347
MSC,PUJ,C003,G01,TELLABS,3494,101.6878695,2.957244498
MSC,PUJ,C004,G01,TELLABS,4725,101.6761303,2.959680538
MSC,PUJ,C005,G01,TELLABS,3115,101.6863781,2.944897957
MSC,PUJ,C006,G004,TELLABS,3452.51,101.6832832,2.947454298
MSC,PUJ,C007,G01,TELLABS,3778,101.6794828,2.945398297
MSC,PUJ,C008,G004,3OPP,4663.32,101.6711393,2.942775544
MSC,PUJ,C010,G005,TELLABS,2989.95,101.6858866,2.938064918
MSC,PUJ,C011,G006,TELLABS,0,101.6814586,2.932454379
MSC,PUJ,C012,G01,TELLABS,3319,101.6881433,2.920490432
MSC,PUJ,C013,G01,TELLABS,3557,101.6879437,2.958223034
MSC,PUJ,C014,G001,FUJIKURA,1157.22,101.7171464,2.94718279
MSC,PUJ,C015,G001,FUJIKURA,1748.14,101.7254067,2.947102886
MSC,PUJ,C016,G01,FUJIKURA,3385,101.6907229,2.916417432
MSC,PUJ,C017,G002,3OPP,1385.43,101.7237518,2.943620586
MSC,PUJ,C018,G002,3OPP,1385.77,101.723809,2.943519074
MSC,PUJ,C019,G01,TELLABS,5510,101.6732549,2.96802949
MSC,PUJ,C020,G001,FUJIKURA,5469.74,101.6735664,2.967559804
MSC,PUJ,C021,G001,FUJIKURA,1147.35,101.7171461,2.947084497
MSC,PUJ,C022,G01,TELLABS,5521,101.6681369,2.960040837
MSC,SKT,C001,G01,TELLABS,526,101.7340764,2.814372467
MSC,SKT,C002,G001,FUJIKURA,0,101.7345229,2.816587422
MSC,SKT,C003,G001,FUJIKURA,0,101.7290756,2.831211641
MSC,SKT,C004,G01,TELLABS,2856,101.7387786,2.835635414
MSC,SKT,C005,G002,FUJIKURA,2093.13,101.7378585,2.828557171
MSC,SKT,C006,G01,TELLABS,500,101.7371446,2.814555221
MSC,SKT,C007,G01,TELLABS,1279,101.7396116,2.819582471
MSC,SKT,C008,G004,FUJIKURA,3339,101.7477459,2.83607271
MSC,SKT,C009,G004,FUJIKURA,3645,101.7499304,2.84017578
MSC,SKT,C010,G01,TELLABS,2983,101.7508421,2.831089285
MSC,SKT,C011,G001,APEX,0,101.7375706,2.811071241
MSC,SKT,C012,G01,TELLABS,1163,101.7424032,2.803415096
MSC,SKT,C013,G002,FUJIKURA,0,101.7531331,2.802164028
MSC,SKT,C014,G005,OPCOM,1251,101.7485555,2.791164258
MSC,SKT,C015,G01,TELLABS,3969,101.7509478,2.779041335
MSC,SKT,C016,G005,FUJIKURA,1692,101.7376252,2.797189763
MSC,SKT,C017,G01,TELLABS,2120,101.7220037,2.795975458
MSC,SKT,C018,G01,TELLABS,1034,101.7255338,2.806540279
MSC,SKT,C019,G004,APEX,1902,101.7193007,2.805829184
MSC,SKT,C020,G01,TELLABS,4206,101.6950055,2.809828617
MSC,SKT,C021,G01,TELLABS,1764,101.7197717,2.815266657
MSC,SKT,C022,G01,TELLABS,4314,101.6956603,2.818811832
MSC,SKT,C023,G004,FUJIKURA,4415,101.6898372,2.825986685
MSC,SKT,C024,G005,FUJIKURA,5300,101.6895206,2.826524314
MSC,SKT,C025,G005,OPCOM,3915,101.7009368,2.822311883
MSC,SKT,C026,G004,FUJIKURA,3759,101.7001311,2.826578179
MSC,SKT,C027,G004,OPCOM,4128,101.7039347,2.826674121
MSC,SKT,C028,G01,TELLABS,3747,101.7103146,2.824521482
MSC,SKT,C029,G01,TELLABS,3061,101.7072714,2.824279502
MSC,SKT,C030,G01,FUJIKURA,0,101.7269588,2.815321258
MSC,SKT,C031,G001,APEX,0,101.7268641,2.816899312
MSC,SKT,C032,G01,TELLABS,917,101.7284306,2.821943101
MSC,SKT,C033,G01,TELLABS,949,101.715497,2.822259461
MSC,SKT,C034,G001,FUJIKURA,2698.16,101.7196457,2.829495513
MSC,SKT,C035,G002,FUJIKURA,0,101.7284522,2.826884178
