SEGMENT,EXC_ABB,FDC_CODE,FDP_CODE,FDP_TYPE,OLT_CODE,RADIAL_DIST_METER,LONG,LAT
MSC,CBJ,C015,29,PEDESTAL DP,,3000.38,101.6203355,2.936927031
MSC,CBJ,C015,28,PEDESTAL DP,,2915.31,101.6200789,2.935266184
MSC,CBJ,C015,31,PEDESTAL DP,,2966.36,101.6205962,2.936763217
MSC,CBJ,C015,32,PEDESTAL DP,,2979.67,101.6203212,2.93659978
MSC,CBJ,C015,33,PEDESTAL DP,,2989.26,101.6200414,2.936367533
MSC,CBJ,C015,34,PEDESTAL DP,,2919.43,101.6207476,2.936263532
MSC,CBJ,C015,35,PEDESTAL DP,,2932.66,101.6204078,2.93600429
MSC,CBJ,C015,36,PEDESTAL DP,,2878.21,101.6207117,2.935587232
MSC,CBJ,C015,37,PEDESTAL DP,,2798.26,101.6219642,2.936054197
MSC,CBJ,C015,38,PEDESTAL DP,,2688.55,101.6229453,2.935698336
MSC,CBJ,C015,39,PEDESTAL DP,,2856.31,101.6217149,2.93658135
MSC,CBJ,C015,40,PEDESTAL DP,,2833.44,101.6219819,2.936583676
MSC,CBJ,C015,41,PEDESTAL DP,,2682.06,101.6233233,2.936063385
MSC,CBJ,C015,42,PEDESTAL DP,,2755.93,101.6227301,2.936392518
MSC,CBJ,C015,43,PEDESTAL DP,,2934.85,101.6211481,2.937006193
MSC,CBJ,C015,44,PEDESTAL DP,,2899.45,101.6216286,2.937091261
MSC,CBJ,C015,45,PEDESTAL DP,,2854.48,101.622151,2.937084139
MSC,CBJ,C015,46,PEDESTAL DP,,2675.61,101.623713,2.936425107
MSC,CBJ,C015,47,PEDESTAL DP,,2725.42,101.6233369,2.936677577
MSC,CBJ,C015,48,PEDESTAL DP,,2783.63,101.6228457,2.936912988
MSC,CBJ,C015,49,PEDESTAL DP,,2444.87,101.6247708,2.934461019
MSC,CBJ,C015,50,PEDESTAL DP,,2504.71,101.6245342,2.93501923
MSC,CBJ,C015,51,PEDESTAL DP,,2395.73,101.6247991,2.933789876
MSC,CBJ,C015,52,PEDESTAL DP,,2448.04,101.624586,2.934279344
MSC,CBJ,C015,53,PEDESTAL DP,,2493.09,101.6244047,2.93470009
MSC,CBJ,C015,54,PEDESTAL DP,,2534.91,101.6242303,2.93508058
MSC,CBJ,C015,55,PEDESTAL DP,,2430.95,101.6242937,2.933654409
MSC,CBJ,C015,56,PEDESTAL DP,,2512.78,101.6239581,2.934427167
MSC,CBJ,C015,57,PEDESTAL DP,,2591.66,101.6235976,2.935115963
MSC,CBJ,C015,58,PEDESTAL DP,,2928.8,101.6214961,2.937346
MSC,CBJ,C015,59,PEDESTAL DP,,2840.87,101.6225026,2.937304814
MSC,CBJ,C015,60,PEDESTAL DP,,2731.62,101.6234516,2.936890965
MSC,CBJ,C015,1,POLE-MOUNTED DP,,3647.49,101.6142233,2.938372995
MSC,CBJ,C015,2,POLE-MOUNTED DP,,3668.88,101.614211,2.938705975
MSC,CBJ,C015,3,POLE-MOUNTED DP,,3748.85,101.6142014,2.939969476
MSC,CBJ,C015,4,POLE-MOUNTED DP,,3727.26,101.6142122,2.939645643
MSC,CBJ,C015,5,POLE-MOUNTED DP,,3567.99,101.6151463,2.938469943
MSC,CBJ,C015,6,POLE-MOUNTED DP,,3598.66,101.6148142,2.938470812
MSC,CBJ,C015,7,POLE-MOUNTED DP,,3619.8,101.6149996,2.939082066
MSC,CBJ,C015,8,POLE-MOUNTED DP,,3637.66,101.6149956,2.939357253
MSC,CBJ,C015,9,POLE-MOUNTED DP,,3608.52,101.6155007,2.939611865
MSC,CBJ,C015,10,POLE-MOUNTED DP,,3694.75,101.6149653,2.940196192
MSC,CBJ,C015,11,POLE-MOUNTED DP,,3661.67,101.6153341,2.940193735
MSC,CBJ,C015,12,POLE-MOUNTED DP,,3544.09,101.6162284,2.939620348
MSC,CBJ,C015,13,POLE-MOUNTED DP,,3447,101.6169106,2.939071615
MSC,CBJ,C015,14,POLE-MOUNTED DP,,3469.59,101.6169048,2.939402173
MSC,CBJ,C015,15,POLE-MOUNTED DP,,3587.32,101.616167,2.940184016
MSC,CBJ,C015,16,POLE-MOUNTED DP,,3538.86,101.6167211,2.940185365
MSC,CBJ,C015,17,POLE-MOUNTED DP,,3435.6,101.6174551,2.939613265
MSC,CBJ,C015,18,POLE-MOUNTED DP,,3489.95,101.6172852,2.940186737
MSC,CBJ,C015,19,POLE-MOUNTED DP,,3478.24,101.615943,2.938203398
MSC,CBJ,C015,20,POLE-MOUNTED DP,,3448.44,101.6162652,2.93819747
MSC,CBJ,C015,21,POLE-MOUNTED DP,,3379.95,101.6170262,2.938206034
MSC,CBJ,C015,22,POLE-MOUNTED DP,,3398.73,101.6168192,2.938207209
MSC,CBJ,C015,23,POLE-MOUNTED DP,,3369.55,101.6174608,2.938641701
MSC,CBJ,C015,24,POLE-MOUNTED DP,,3352.06,101.6174531,2.938366485
MSC,CBJ,C015,25,PEDESTAL DP,,3000.09,101.6193305,2.935522984
MSC,CBJ,C015,26,PEDESTAL DP,,2940.08,101.6197338,2.935153571
MSC,CBJ,C015,27,PEDESTAL DP,,3022.47,101.6193981,2.935980023
MSC,CBJ,C015,30,PEDESTAL DP,,3017.72,101.6198707,2.936568482
MSC,CBJ,C018,7,EXTERNAL DP,G01,471,101.6443098,2.923640281
MSC,CBJ,C018,1,EXTERNAL DP,G01,1013,101.6419921,2.929440714
MSC,CBJ,C018,4,EXTERNAL DP,G01,447,101.6437787,2.923749119
MSC,CBJ,C018,6,EXTERNAL DP,G01,475,101.6445666,2.923465635
MSC,CBJ,C018,9,EXTERNAL DP,G01,385,101.6410624,2.923703982
MSC,CBJ,C018,10,EXTERNAL DP,G01,475,101.640979,2.924520473
MSC,CBJ,C018,5,EXTERNAL DP,G01,460,101.6440003,2.923740788
MSC,CBJ,C018,11,EXTERNAL DP,G01,499,101.640876,2.924719081
MSC,CBJ,C018,8,EXTERNAL DP,G01,365,101.6409591,2.923495636
MSC,CBJ,C018,2,EXTERNAL DP,G01,895,101.639653,2.928107907
MSC,CBJ,C018,3,EXTERNAL DP,G01,658,101.6412323,2.926217055
MSC,CBJ,C023,15,PEDESTAL DP,G06,3887,101.6112433,2.937546085
MSC,CBJ,C023,16,PEDESTAL DP,G06,4106,101.6081922,2.935974673
MSC,CBJ,C023,26,PEDESTAL DP,G06,4013,101.6094514,2.936627738
MSC,CBJ,C023,12,PEDESTAL DP,G06,3863,101.6113148,2.937227174
