msan,dt,total
CBJ,1/3/2014,2702
PUJ,1/3/2014,2622
PUJ1,1/3/2014,7
SKT,1/3/2014,757
CBJ,1/4/2014,1592
CBJ,1/4/2014,2225
PUJ,1/4/2014,2956
PUJ,1/4/2014,1626
PUJ1,1/4/2014,11
PUJ1,1/4/2014,4
SKT,1/4/2014,952
SKT,1/4/2014,480
CBJ,1/5/2014,2162
PUJ,1/5/2014,2561
PUJ1,1/5/2014,8
SKT,1/5/2014,980
CBJ,1/7/2014,2597
PUJ,1/7/2014,3621
PUJ1,1/7/2014,11
SKT,1/7/2014,1143
CBJ,1/8/2014,2236
PUJ,1/8/2014,2993
PUJ1,1/8/2014,19
SKT,1/8/2014,855
CBJ,1/9/2014,2423
PUJ,1/9/2014,2752
PUJ1,1/9/2014,14
SKT,1/9/2014,1015
CBJ,1/10/2014,8672
PUJ,1/10/2014,2875
PUJ1,1/10/2014,16
SKT,1/10/2014,1577
CBJ,1/11/2014,2073
PUJ,1/11/2014,3219
PUJ1,1/11/2014,46
SKT,1/11/2014,1016
CBJ,1/12/2014,2249
PUJ,1/12/2014,3038
PUJ1,1/12/2014,11
SKT,1/12/2014,1140
CBJ,1/13/2014,2258
PUJ,1/13/2014,2994
PUJ1,1/13/2014,11
SKT,1/13/2014,934
CBJ,1/14/2014,2164
PUJ,1/14/2014,2919
PUJ1,1/14/2014,9
SKT,1/14/2014,877
CBJ,1/15/2014,2652
PUJ,1/15/2014,2921
PUJ1,1/15/2014,9
SKT,1/15/2014,874
CBJ,1/17/2014,6221
PUJ,1/17/2014,3079
PUJ1,1/17/2014,13
SKT,1/17/2014,984
CBJ,1/18/2014,2246
PUJ,1/18/2014,2829
PUJ1,1/18/2014,15
SKT,1/18/2014,851
CBJ,1/19/2014,2011
PUJ,1/19/2014,2510
PUJ1,1/19/2014,11
SKT,1/19/2014,737
CBJ,1/20/2014,2491
PUJ,1/20/2014,2495
PUJ1,1/20/2014,19
SKT,1/20/2014,837
CBJ,1/21/2014,3209
PUJ,1/21/2014,2947
PUJ1,1/21/2014,22
SKT,1/21/2014,844
CBJ,1/22/2014,3451
PUJ,1/22/2014,2951
PUJ1,1/22/2014,18
SKT,1/22/2014,858
CBJ,1/23/2014,2395
PUJ,1/23/2014,2834
PUJ1,1/23/2014,20
SKT,1/23/2014,825
CBJ,1/24/2014,2473
KLIA,1/24/2014,2
PUJ,1/24/2014,3002
PUJ1,1/24/2014,21
SKT,1/24/2014,948
CBJ,1/25/2014,2096
KLIA,1/25/2014,2
PUJ,1/25/2014,2884
PUJ1,1/25/2014,20
SKT,1/25/2014,779
CBJ,1/26/2014,2091
PUJ,1/26/2014,2861
PUJ1,1/26/2014,16
SKT,1/26/2014,890
CBJ,1/28/2014,1919
PUJ,1/28/2014,2937
PUJ1,1/28/2014,24
SKT,1/28/2014,1047
CBJ,1/29/2014,1640
CBJ,1/29/2014,2272
CBJ,1/29/2014,2156
CBJ,1/29/2014,1981
PUJ,1/29/2014,2794
PUJ,1/29/2014,2948
PUJ,1/29/2014,2941
PUJ,1/29/2014,2777
PUJ1,1/29/2014,25
PUJ1,1/29/2014,9
PUJ1,1/29/2014,8
PUJ1,1/29/2014,16
SKT,1/29/2014,958
SKT,1/29/2014,947
SKT,1/29/2014,865
SKT,1/29/2014,913
CBJ,2/1/2014,1459
