login_id,msan,dt,total
0162678329@unifi,CBJ,2/1/2014,1
0162678329@unifi,CBJ,2/23/2014,1
0162678329@unifi,CBJ,3/1/2014,2
0162678329@unifi,CBJ,3/4/2014,1
0162678329@unifi,CBJ,4/22/2014,1
0162678329@unifi,CBJ,5/1/2014,1
0162678329@unifi,CBJ,5/27/2014,2
0162678329@unifi,CBJ,5/28/2014,1
0162678329@unifi,CBJ,7/1/2014,1
0162678329@unifi,CBJ,7/9/2014,1
0162678329@unifi,CBJ,7/12/2014,1
0162678329@unifi,CBJ,7/23/2014,1
0162678329@unifi,CBJ,7/27/2014,1
0162678329@unifi,CBJ,7/31/2014,1
0162678329@unifi,CBJ,8/6/2014,1
0162678329@unifi,CBJ,8/13/2014,2
0162678329@unifi,CBJ,8/24/2014,1
0162678329@unifi,CBJ,8/26/2014,1
0162678329@unifi,CBJ,9/2/2014,1
0162678329@unifi,CBJ,9/27/2014,1
0162678329@unifi,CBJ,10/2/2014,1
0162678329@unifi,CBJ,10/3/2014,1
0162678329@unifi,CBJ,10/13/2014,14
0162678329@unifi,CBJ,10/14/2014,1
0162678329@unifi,CBJ,10/15/2014,2
0162678329@unifi,CBJ,10/16/2014,1
0162678329@unifi,CBJ,10/17/2014,2
0162678329@unifi,CBJ,10/18/2014,1
0162678329@unifi,CBJ,10/22/2014,1
0162678329@unifi,CBJ,10/24/2014,1
0162678329@unifi,CBJ,10/30/2014,1
0162678329@unifi,CBJ,11/1/2014,1
0162678329@unifi,CBJ,1/5/2015,1
0162678329@unifi,CBJ,2/1/2015,3
0162678329@unifi,CBJ,2/5/2015,2
0162678329@unifi,CBJ,2/24/2015,2
0162678329@unifi,CBJ,3/2/2015,2
0162678329@unifi,CBJ,3/6/2015,2
0162678329@unifi,CBJ,3/7/2015,1
0162678329@unifi,CBJ,3/9/2015,2
0162678329@unifi,CBJ,3/21/2015,1
0162678329@unifi,CBJ,4/1/2015,2
0162678329@unifi,CBJ,4/4/2015,1
0162678329@unifi,CBJ,5/7/2015,3
0162678329@unifi,CBJ,5/12/2015,2
0162678329@unifi,CBJ,5/12/2015,1
0162678329@unifi,CBJ,5/12/2015,3
0162678329@unifi,CBJ,5/17/2015,6
0162678329@unifi,CBJ,5/18/2015,5
0162678329@unifi,CBJ,5/20/2015,1
0162678329@unifi,CBJ,5/28/2015,1
0162678329@unifi,CBJ,6/1/2015,1
0162678329@unifi,CBJ,6/1/2015,2
0162678329@unifi,CBJ,6/4/2015,1
0162678329@unifi,CBJ,6/11/2015,5
0162678329@unifi,CBJ,6/12/2015,4
0162678329@unifi,CBJ,6/21/2015,35
0162678329@unifi,CBJ,7/17/2015,1
0162678329@unifi,CBJ,8/4/2015,1
0162678329@unifi,CBJ,8/4/2015,7
0162678329@unifi,CBJ,8/4/2015,7
0162678329@unifi,CBJ,8/7/2015,47
0162678329@unifi,CBJ,8/8/2015,1
0162678329@unifi,CBJ,8/9/2015,12
0162678329@unifi,CBJ,8/10/2015,3
0162678329@unifi,CBJ,8/15/2015,7
0162678329@unifi,CBJ,9/6/2015,1
0162678329@unifi,CBJ,9/10/2015,5
0162678329@unifi,CBJ,9/10/2015,1
23166686@unifi,CBJ,5/12/2015,2
23166686@unifi,CBJ,5/16/2015,4
23166686@unifi,CBJ,5/17/2015,2
23166686@unifi,CBJ,5/18/2015,3
23166686@unifi,CBJ,5/22/2015,2
23166686@unifi,CBJ,5/27/2015,2
23166686@unifi,CBJ,5/28/2015,1
23166686@unifi,CBJ,6/1/2015,8
23166686@unifi,CBJ,6/1/2015,3
23166686@unifi,CBJ,6/5/2015,2
23166686@unifi,CBJ,6/10/2015,2
23166686@unifi,CBJ,6/18/2015,1
