SEGMENT,EXC_ABB,FDC_CODE,OLT_CODE,MANUFACTURER,RADIAL_DIST_METER,LONG,LAT
MSC,CBJ2,C001,G01,TELLABS,4138.000000000000000,101.620544758932000,2.949303557517950
MSC,CBJ2,C002,G01,TELLABS,3826.000000000000000,101.619665596900010,2.946228537728310
MSC,CBJ2,C003,G01,TELLABS,3349.000000000000000,101.621601311761000,2.940117263046770
MSC,CBJ2,C004,G01,TELLABS,3719.000000000000000,101.617754296941000,2.943771240537160
MSC,CBJ2,C005,G01,TELLABS,4200.000000000000000,101.615126430876000,2.947277415848800
MSC,CBJ2,C006,G02,FUJIKURA,4331.000000000000000,101.613530627135010,2.947050090160920
MSC,CBJ2,C007,G02,FUJIKURA,3890.000000000000000,101.612763096539990,2.940383554194180
MSC,CBJ2,C008,G02,FUJIKURA,4259.000000000000000,101.609410908006000,2.939800832765580
MSC,CBJ2,C009,G02,FUJIKURA,4414.000000000000000,101.606586073695990,2.937706420036180
MSC,CBJ2,C010,G02,FUJIKURA,4663.000000000000000,101.606006213013000,2.941290236096180
MSC,CBJ2,C011,G02,FUJIKURA,4466.000000000000000,101.604189293224000,2.934351794584490
MSC,CBJ2,C012,G02,FUJIKURA,0.000000000000000,101.612814782372000,2.946027663945250
MSC,CBJ2,C013,G02,FUJIKURA,4863.000000000000000,101.606864789811000,2.946884275200010
MSC,CBJ2,C014,G02,FUJIKURA,4904.000000000000000,101.605821059650000,2.947909245517120
MSC,CBJ2,C015,G002,FUJIKURA,0.000000000000000,101.622774286983000,2.937699186543290
MSC,CBJ2,C016,G01,FUJIKURA,3501.000000000000000,101.614551157986000,2.937094481685190
MSC,CBJ2,C017,G001,FUJIKURA,206.000000000000000,101.640802312719000,2.921910882460520
MSC,CBJ2,C018,G001,FUJIKURA,672.000000000000000,101.639241465043990,2.922690289661660
MSC,CBJ2,C019,G001,FUJIKURA,1471.000000000000000,101.654831996335010,2.921943827313000
MSC,CBJ2,C020,G001,FUJIKURA,2043.000000000000000,101.657613099938000,2.929536521314580
MSC,CBJ2,C021,G001,FUJIKURA,2740.000000000000000,101.666353494655990,2.920352169775820
MSC,CBJ2,C022,G001,FUJIKURA,1751.000000000000000,101.656743610291000,2.915559736147000
MSC,CBJ2,C023,G06,FUJIKURA,3985.000000000000000,101.610168737840000,2.937089062220030
MSC,CBJ2,C024,G002,FUJIKURA,5789.560000000000400,101.599058175847010,2.950401369256000
MSC,CBJ2,C025,G03,TELLABS,2554.000000000000000,101.622162142211000,2.932425205866070
MSC,CBJ2,C026,G002,FUJIKURA,1547.000000000000000,101.628514347018000,2.915458842371200
MSC,CBJ2,C028,G010,FUJIKURA,5533.579999999999900,101.600966201221990,2.949105125691970
MSC,CBJ2,C031,G010,FUJIKURA,1662.660000000000100,101.656168598075000,2.924157973378320
MSC,CBJ2,C033,G010,FUJIKURA,1729.660000000000100,101.655986519435000,2.926546059098000
MSC,CBJ2,C036,G010,FUJIKURA,659.799999999999950,101.646307470070990,2.916589705104680
MSC,CBJ2,C037,G010,FUJIKURA,822.880000000000000,101.634639254704000,2.922579809554800
MSC,CBJ2,C039,G010,APEX,2810.290000000000000,101.661184782101000,2.936542802657370
MSC,CBJ2,C040,G010,APEX,2720.900000000000100,101.665392496977010,2.914183897756160
MSC,CBJ2,C042,G010,APEX,421.959999999999980,101.637905557767990,2.920367463441500
MSC,CBJ2,C043,G010,APEX,2100.790000000000000,101.632669449538000,2.937038663556880
MSC,CBJ2,C044,G010,FUJIKURA,923.830000000000040,101.634241457926000,2.924031934798300
